phbarc;phprsu;phcolp;phcocp;phlebi;phlesu;phadul;phfpre;phcocs;tititu;tiauto;Mes;Año
1401042419;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;T    ;Canciones infantiles / ;;3;2025
1401237127;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;T    ;Paco y el reggae / ;Le Huche, Magali (1979-);3;2025
1300012804;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Soundtrack from Twin Peaks / ;Badalamenti, Angelo (1937-);3;2025
1300011314;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;4/03/2025;V    ;Acordes de flamenco [;;3;2025
1300011315;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;4/03/2025;V    ;Acordes de flamenco [;;3;2025
283331;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Missa Alma Redemptoris, Magn?ficats y Motetes para la Virgen;Victoria, Tom?s Luis de (1549-1611);3;2025
283333;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Himnos, Motetes y Misa de todos los Santos [;Victoria, Tom?s Luis de (1549-1611);3;2025
100774669;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;El primer maestro de piano : Op. 599 : cien estudios diarios;Czerny, Carl (1791-1857);3;2025
284074;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;160 kurze ?bungen : opus 821 /;Czerny, Carl (1791-1857);3;2025
291452;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Musicianship for the older beginner. Level 1 /;Bastien, James W.;3;2025
101890177;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Motetten = Motets /;Bach, Johann Sebastian (1685-1750);3;2025
1300017488;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Roberta Flack and Peabo Bryson : live and more [;Flack, Roberta.;3;2025
1401236734;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Tutu / ;Davis, Miles (1926-1991);3;2025
1800345686;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;4/03/2025;T    ;Cuerpo de Maestros : Situaciones de aprendizaje en Educaci?n;Ribes Antu?a, Mar?a Dolores.;3;2025
1800340438;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;4/03/2025;T    ;Auxiliar administrativo/a. Promoci?n interna. Temario. Ayunt;;3;2025
1800340440;BTM   ;USU  ;MT   ;BMM   ;BMM   ;1;4/03/2025;T    ;Personal de Oficios. Servicios Internos Temario. Ayuntamient;;3;2025
101485103;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Pr?ludes, [opus 28] /;Chopin, Fr?d?ric (1810-1849);3;2025
101027104;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Estudios para piano. Libro 1?, 1? y 2? parte /;Czerny, Carl (1791-1857);3;2025
200001418;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Tr?ptico de canciones : para canto y piano /;Garc?a Leoz, Jes?s (1904-1953);3;2025
200001711;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;3/03/2025;Q    ;Canciones del Teatro de Garc?a Lorca /;Pittaluga, Gustavo (1906-1975);3;2025
284754;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Nefertiti [;Davis, Miles (1926-1991);3;2025
1300029607;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;3/03/2025;S    ;Steamin' with the Miles Davis quintet / ;Davis, Miles (1926-1991);3;2025
284661;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;4/03/2025;V    ;Let's get lost [: Chet Baker /;;3;2025
100330714;BMM   ;;MA   ;;;;4/03/2025;Q    ;The Well-tempered clavier : books I and II, complete /;Bach, Johann Sebastian (1685-1750);3;2025
100768172;BMM   ;;MA   ;;;;4/03/2025;Q    ;GUITAR classics : works by Alb?niz, Bach, Dowland, Granados,;;3;2025
101027191;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;4/03/2025;T    ;M?todo completo de piano : gu?a pr?ctica para aprender a toc;Burrows, Terry.;3;2025
1401237134;BMM   ;USU  ;MA   ;BMM   ;BMM   ;0;4/03/2025;T    ;Paco y Vivaldi / ;Le Huche, Magali (1979-);3;2025
101489426;BMM   ;USU  ;MA   ;BMM   ;BMM   ;0;4/03/2025;T    ;Mozart, divino Mozart /;Sotillos, Eugenio.;3;2025
2071854;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;4/03/2025;T    ;El sistema de clasificaci?n decimal universal CDU : manual d;Benito, Miguel.;3;2025
2073534;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;4/03/2025;T    ;Teor?a y pr?ctica de la Clasificaci?n Decimal Universal (CDU;Moreno Fern?ndez, Luis Miguel.;3;2025
